type,dist,longitude,latitude
A2,東區,120.967566,24.780107
A2,東區,120.968834,24.797778
A2,北區,120.958626,24.802333
A2,東區,120.99581,24.797648
A2,北區,120.94626,24.831116
A2,北區,120.983887,24.802009
A2,東區,120.983062,24.79637
A2,東區,120.97088,24.801602
A2,香山區,120.932092,24.781596
A2,香山區,120.913142,24.733964
A2,東區,120.992488,24.805103
A2,東區,120.986297,24.806122
A2,香山區,120.898523,24.744353
A2,北區,120.971055,24.813973
A2,東區,121.013381,24.793159
A2,北區,120.957417,24.7972
A2,東區,120.971406,24.795635
A2,北區,120.967125,24.812917
A2,北區,120.964634,24.807813
A2,北區,120.972346,24.821462
A2,香山區,120.915465,24.76714
A2,北區,120.959698,24.809148
A2,香山區,120.946472,24.793881
A2,東區,120.966549,24.798362
A2,東區,121.015515,24.784179
A2,北區,120.960282,24.818845
A2,香山區,120.950788,24.796234
A2,東區,121.004401,24.791058
A2,東區,121.003583,24.786114
A2,東區,120.97406,24.797175
A2,東區,121.003492,24.78616
A2,東區,120.992018,24.779277
A2,東區,120.971918,24.795746
A2,東區,121.009999,24.787304
A2,東區,121.012105,24.791601
A2,北區,120.954949,24.794001
A2,東區,121.022359,24.777055
A2,東區,121.024059,24.780913
A2,北區,120.961238,24.797087
A2,東區,120.97662,24.801901
A2,東區,120.970267,24.80446
A2,東區,120.98088,24.814797
A2,東區,120.979574,24.812857
A2,東區,120.975068,24.804298
A2,東區,121.024724,24.77573
A2,東區,120.979463,24.807036
A2,東區,121.025954,24.774522
A2,東區,120.989308,24.783477
A2,東區,120.980672,24.788639
A2,北區,120.961732,24.806973
A2,東區,120.997188,24.800633
A2,東區,120.99126,24.813934
A2,東區,120.980313,24.814756
A2,東區,120.972581,24.8137
A2,東區,121.018827,24.778297
A2,東區,120.996548,24.822083
A2,東區,121.010772,24.767923
A2,北區,120.954971,24.803493
A2,東區,121.021161,24.768086
A2,北區,120.962436,24.806081
A2,東區,120.993406,24.816012
A2,東區,120.992635,24.815848
A2,東區,120.970956,24.804286
A2,東區,120.972864,24.794161
A2,香山區,120.924534,24.818943
A2,東區,120.973552,24.808563
A2,東區,120.973787,24.793577
A2,東區,120.975558,24.811864
